Deck,Tag,Malayalam,Manglish,English,AudioFile,Notes
Kids Picture Words,Family,അമ്മ,Amma,Mother,kids_K03_family_food_colours_animals.mp3,Family
Kids Picture Words,Family,അച്ഛൻ,Achan,Father,kids_K03_family_food_colours_animals.mp3,Family
Kids Picture Words,Family,ചേച്ചി,Chechi,Elder sister,kids_K03_family_food_colours_animals.mp3,Family
Kids Picture Words,Family,ചേട്ടൻ,Chettan,Elder brother,kids_K03_family_food_colours_animals.mp3,Family
Kids Picture Words,Family,കുട്ടി,Kutti,Child,kids_K03_family_food_colours_animals.mp3,Family
Kids Picture Words,Animals,നായ,Naaya,Dog,kids_K03_family_food_colours_animals.mp3,Animal
Kids Picture Words,Animals,പൂച്ച,Poocha,Cat,kids_K03_family_food_colours_animals.mp3,Animal
Kids Picture Words,Animals,ആന,Aana,Elephant,kids_K03_family_food_colours_animals.mp3,Animal
Kids Picture Words,Animals,മുയൽ,Muyal,Rabbit,kids_K03_family_food_colours_animals.mp3,Animal
Kids Picture Words,Animals,തത്ത,Thatha,Parrot,kids_K03_family_food_colours_animals.mp3,Animal
Kids Picture Words,Food,ചോറ്,Choru,Rice,kids_K03_family_food_colours_animals.mp3,Food
Kids Picture Words,Food,പാൽ,Paal,Milk,kids_K03_family_food_colours_animals.mp3,Food
Kids Picture Words,Food,വെള്ളം,Vellam,Water,kids_K03_family_food_colours_animals.mp3,Food
Kids Picture Words,Food,മാങ്ങ,Maanga,Mango,kids_K03_family_food_colours_animals.mp3,Food
Kids Picture Words,Food,പുട്ട്,Puttu,Puttu,kids_K03_family_food_colours_animals.mp3,Food
Kids Picture Words,Colours,ചുവപ്പ്,Chuvappu,Red,kids_K03_family_food_colours_animals.mp3,Colour
Kids Picture Words,Colours,നീല,Neela,Blue,kids_K03_family_food_colours_animals.mp3,Colour
Kids Picture Words,Colours,പച്ച,Pacha,Green,kids_K03_family_food_colours_animals.mp3,Colour
Kids Picture Words,Colours,മഞ്ഞ,Manja,Yellow,kids_K03_family_food_colours_animals.mp3,Colour
Kids Picture Words,Colours,വെള്ള,Vella,White,kids_K03_family_food_colours_animals.mp3,Colour
Kids Picture Words,Home,വീട്,Veedu,House,kids_K03_family_food_colours_animals.mp3,Home
Kids Picture Words,Home,മുറി,Muri,Room,kids_K03_family_food_colours_animals.mp3,Home
Kids Picture Words,Home,വാതിൽ,Vaathil,Door,kids_K03_family_food_colours_animals.mp3,Home
Kids Picture Words,Home,മേശ,Mesha,Table,kids_K03_family_food_colours_animals.mp3,Home
Kids Picture Words,Home,കസേര,Kasera,Chair,kids_K03_family_food_colours_animals.mp3,Home
Kids Picture Words,Nature,മഴ,Mazha,Rain,kids_K03_family_food_colours_animals.mp3,Nature
Kids Picture Words,Nature,മരം,Maram,Tree,kids_K03_family_food_colours_animals.mp3,Nature
Kids Picture Words,Nature,പൂവ്,Poovu,Flower,kids_K03_family_food_colours_animals.mp3,Nature
Kids Picture Words,Nature,സൂര്യൻ,Sooryan,Sun,kids_K03_family_food_colours_animals.mp3,Nature
Kids Picture Words,Nature,പുഴ,Puzha,River,kids_K03_family_food_colours_animals.mp3,Nature
Kids Picture Words,School,സ്കൂൾ,Skool,School,kids_K03_family_food_colours_animals.mp3,School
Kids Picture Words,School,പുസ്തകം,Pusthakam,Book,kids_K03_family_food_colours_animals.mp3,School
Kids Picture Words,School,പേന,Pena,Pen,kids_K03_family_food_colours_animals.mp3,School
Kids Picture Words,School,ടീച്ചർ,Teacher,Teacher,kids_K03_family_food_colours_animals.mp3,School
Kids Picture Words,Phrases,നന്ദി,Nandi,Thank you,kids_K03_family_food_colours_animals.mp3,Phrase
Kids Picture Words,Phrases,വരൂ,Varoo,Come,kids_K03_family_food_colours_animals.mp3,Phrase
Kids Picture Words,Phrases,ഇരിക്കൂ,Irikkoo,Sit,kids_K03_family_food_colours_animals.mp3,Phrase
Kids Picture Words,Phrases,വെള്ളം വേണം,Vellam venam,Want water,kids_K03_family_food_colours_animals.mp3,Phrase
Kids Picture Words,Phrases,വീണ്ടും കാണാം,Veendum kaanaam,See you again,kids_K03_family_food_colours_animals.mp3,Phrase
